Station,Site,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21
0001,San Rafael,0.2934785,0.2823865,0.2809785,0.285145,0.295652,0.3085145,0.3,0.29782600000000004,0.284091,0.2980075,0.3571555,0.2744565,0.282971,0.28269900000000003,0.2660325,0.2875,0.22613650000000002,0.22970600000000002,0.22346,0.274547,0.27019899999999997,0.2594205,0.27178,0.27386350000000004,0.2722825,0.272373,0.2852355,0.29130449999999997,0.295652,0.278714,0.2788045,0.32345999999999997,0.3,0.295652,0.263587,0.304438,0.3203945,0.316848,0.287138,0.2703785,0.3278985,0.31911199999999995,0.29782600000000004,0.32119549999999997,0.29583349999999997,0.39990950000000003,0.3317935,0.34048900000000004,0.3105075,0.3065215,0.3,0.2852355,0.276449,0.283152,0.35099650000000004,0.3,0.278623
0002,Concord,0.197826,0.265341,0.3339675,0.33831500000000003,0.3233695,0.380888,0.3,0.3,0.3065215,0.37690199999999996,0.405462,0.28913049999999996,0.27255450000000003,0.22753600000000002,0.2576085,0.304348,0.3,0.29782600000000004,0.2934785,0.31059800000000004,0.3085145,0.304348,0.3446555,0.327627,0.327627,0.3425725,0.34891300000000003,0.3065215,0.3065215,0.366123,0.3934785,0.43188400000000005,0.43188400000000005,0.42336949999999995,0.34692049999999997,0.378714,0.4664475,0.43308800000000003,0.4446555,0.4660325,0.495652,0.5,0.4891305,0.47663049999999996,0.497826,0.531884,0.572373,0.597826,0.5593295,0.495652,0.4891305,0.502174,0.3163045,0.1086955,0.1511775,0.1571555,0.1
0002,North Highlands-Blackfoot,0.12780799999999998,0.21259050000000002,0.18695650000000003,0.2,0.204348,0.1979165,0.308605,0.28731850000000003,0.347011,0.3828805,0.40217400000000003,0.3636775,0.3255435,0.3233695,0.2660325,0.29130449999999997,0.2041665,0.20217400000000002,0.21920299999999998,0.2110195,0.2,0.20217400000000002,0.25317049999999997,0.238225,0.2362315,0.268116,0.25317049999999997,0.2596015,0.25516300000000003,0.27029000000000003,0.280888,0.22762700000000002,0.2490945,0.2744565,0.20634049999999998,0.22146749999999998,0.272464,0.291123,0.2490945,0.29791650000000003,0.36802500000000005,0.2825185,0.2108695,0.20652150000000002,0.266395,0.39157600000000004,0.425634,0.416848,0.3550725,0.3147645,0.2846015,0.285326,0.2847825,0.24968949999999998,0.2552535,0.219112,0.197826
0003,Napa,0.4490035,0.452989,0.47880449999999997,0.457337,0.468116,0.5019925000000001,0.4552535,0.412953,0.487047,0.538587,0.5572465,0.4810925,0.502174,0.502174,0.474547,0.5393939999999999,0.5065215000000001,0.5,0.504348,0.5509055,0.531884,0.5065215000000001,0.538134,0.504348,0.5086955,0.39544100000000004,0.295652,0.285145,0.3258335,0.3344205,0.3872285,0.4384055,0.4130435,0.40217400000000003,0.4145835,0.395924,0.4664475,0.45090549999999996,0.41911200000000004,0.46376850000000003,0.48523550000000004,0.486866,0.4086955,0.4211955,0.40217400000000003,0.47029,0.4952655,0.495562,0.404076,0.38324250000000004,0.410598,0.42971000000000004,0.4296195,0.3917575,0.4317935,0.38913050000000005,0.337953
0004,Sebastopol,0.302174,0.302174,0.3403985,0.3361415,0.3638585,0.370199,0.338225,0.3,0.3233695,0.3703805,0.3678445,0.31911199999999995,0.3065215,0.3065215,0.3,0.3065215,0.33188399999999996,0.3,0.302174,0.31911199999999995,0.3,0.323551,0.43614149999999996,0.3310295,0.2766305,0.2638585,0.27019899999999997,0.272464,0.28712099999999996,0.32128599999999996,0.374547,0.4055555,0.397826,0.3658515,0.3809785,0.38297099999999995,0.40526300000000004,0.334091,0.265942,0.30009050000000004,0.376721,0.4104165,0.321105,0.304348,0.263587,0.2466485,0.204348,0.231884,0.204348,0.215036,0.26159449999999995,0.22771750000000002,0.21721000000000001,0.302174,0.29782600000000004,0.2509055,0.2
0004,Sutter Buttes (seasonal),0.175,0.10625000000000001,0.1,0.1,0.1,0.1,0.1,0.1020835,0.1,0.1645835,0.2,0.2,0.2,0.1729165,0.1354165,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1041665,0.1041665,0.1,0.1041665,0.1,0.1,0.1,0.10625000000000001,0.1,0.1,0.1416665,0.125,0.11875,0.15416649999999998,0.2020835,0.1875,0.17178,0.125,0.175,0.15,0.166667,0.1395835,0.11875,0.1395835,0.19375,0.1666665,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.175,0.10625000000000001
0004,Vallejo,0.2,0.20652150000000002,0.234058,0.2553445,0.206629,0.2,0.2,0.2,0.1791175,0.15769899999999998,0.221105,0.168333,0.2446555,0.2233695,0.253442,0.22857149999999998,0.2,0.1779605,0.1703805,0.20217400000000002,0.212862,0.2576085,0.2934785,0.275568,0.2361415,0.251087,0.2638585,0.28306200000000004,0.2572465,0.261685,0.24039850000000001,0.2638585,0.2552535,0.2552535,0.24474649999999998,0.251087,0.3026315,0.265761,0.2596015,0.276721,0.28306200000000004,0.302174,0.3,0.3,0.3,0.3574275,0.355163,0.304348,0.2934785,0.2788045,0.274275,0.245,0.2086955,0.2488225,0.2575185,0.2085145,0.2
0005,San Francisco,0.2361415,0.256579,0.2766305,0.265942,0.2744565,0.274366,0.2255435,0.20652150000000002,0.272373,0.2744445,0.333786,0.2,0.2,0.2,0.2,0.26159449999999995,0.212953,0.268116,0.22545300000000001,0.2660325,0.2530795,0.2361415,0.2744565,0.272464,0.276449,0.278895,0.276449,0.2703805,0.25733700000000004,0.28306200000000004,0.29782600000000004,0.31911199999999995,0.29130449999999997,0.2934785,0.295652,0.2660325,0.34078949999999997,0.29782600000000004,0.3446555,0.35099650000000004,0.376721,0.3934785,0.30625,0.33632249999999997,0.37228249999999996,0.4576085,0.4425725,0.408424,0.3636775,0.378623,0.3766305,0.332647,0.28731850000000003,0.30842400000000003,0.2934785,0.25733700000000004,0.2108695
0005,San Jose - Jackson,0.18818200000000002,0.207841,0.20458349999999997,0.2036365,0.229129,0.240357,0.181818,0.137841,0.1623485,0.1859845,0.26977249999999997,0.1970455,0.1995455,0.1679545,0.1451515,0.200909,0.17947000000000002,0.161856,0.2183335,0.200909,0.219053,0.186818,0.21242450000000002,0.1927275,0.1911365,0.20227250000000002,0.194524,0.1810225,0.185,0.19666650000000002,0.24996200000000002,0.27981100000000003,0.244091,0.24011349999999998,0.224643,0.1960985,0.2291445,0.235341,0.2029545,0.242197,0.234091,0.316905,0.2311745,0.2288635,0.29622550000000003,0.409356,0.379811,0.3401135,0.26977249999999997,0.23984850000000002,0.23992449999999999,0.3076135,0.26977249999999997,0.1676515,0.22541650000000002,0.23447,0.1558335
0006,Sacramento-Del Paso Manor,,0.16528700000000002,0.1141135,0.1174375,0.15025,0.1833955,0.12272,0.1100415,0.1503545,0.1880205,0.2091135,0.1776875,0.1484375,0.1483125,0.10945450000000001,0.135333,0.1064375,0.104104,0.1190755,0.138144,0.116229,0.1142915,0.147341,0.114521,0.1105415,0.1337085,0.1121365,0.1355205,0.1081665,0.11227100000000001,0.139818,0.15902100000000002,0.1873125,0.164271,0.11742449999999999,0.12837500000000002,0.216354,0.21266649999999998,0.175462,0.1943335,0.1983125,0.199021,0.1935455,0.18527100000000002,0.2259795,0.330146,0.3285985,0.308375,0.238958,0.146021,0.14065149999999998,0.14758300000000002,0.146042,0.112238,0.17821199999999998,0.1353125,0.103896
0006,San Jose - Knox Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.753269,0.623499,0.4596015,0.5362315,0.583152,0.670199,0.57654,0.5979165,0.6682064999999999,0.853261,0.8425725,0.829801,0.772373,0.7382249999999999,0.7105075000000001,0.7035985,0.5975545,0.5661229999999999,0.6618660000000001,0.6766305,0.5743659999999999
0009,Oakland,0.1934785,0.195652,0.210688,0.1934785,0.1934785,0.2576085,0.14429350000000002,0.1,0.169925,0.206703,0.274185,0.1468295,0.172464,0.127536,0.119203,0.204348,0.1655795,0.172373,0.17898550000000002,0.2594205,0.2085145,0.1807065,0.19375,0.210779,0.2211955,0.2809785,0.2083335,0.1934785,0.2,0.20217400000000002,0.2130435,0.3384055,0.2869565,0.156439,0.16168500000000002,0.11512700000000001,0.205263,0.150815,0.1533335,0.1894925,0.2192935,0.250725,0.225362,0.2,0.2341485,0.380888,0.3403985,0.35099650000000004,0.2850545,0.28731850000000003,0.236051,0.287138,0.16041650000000002,0.1300725,0.1913045,0.127536,0.1
0011,Oakland West,0.3636775,0.368116,0.40217400000000003,0.3320075,0.29782600000000004,0.327627,0.295652,0.28913049999999996,0.3065215,0.361775,0.378623,0.3065215,0.3171195,0.302174,0.3108695,0.395652,0.3386515,0.361775,0.3596015,0.395652,0.395652,0.397826,0.40217400000000003,0.4065215,0.41911200000000004,0.43614149999999996,0.42336949999999995,0.40434800000000004,0.40217400000000003,0.4362315,0.474366,0.519112,0.5,0.502174,0.525362,0.5,0.563816,0.5042575,0.5916665,0.6233695,0.4426135,0.3528985,0.3,0.304348,0.3574275,0.5148550000000001,0.43206500000000003,0.412862,0.340308,0.317301,0.2935685,0.36168500000000003,0.304348,0.3,0.302174,0.3,0.29782600000000004
0012,Laney College,0.3468295,0.3638585,0.410688,0.3439705,0.3632575,0.37445649999999997,0.274366,0.223188,0.2852355,0.33405799999999997,0.3872285,0.3509055,0.3339675,0.26802499999999996,0.2703805,0.325634,0.352222,0.34109849999999997,0.2957425,0.2788045,0.2852355,0.3126815,0.289402,0.3149455,0.295652,0.3298915,0.3019925,0.2980075,0.285145,0.28306200000000004,0.3468295,0.3552535,0.4490035,0.46594199999999997,0.5020835,0.4638585,0.4891175,0.478623,0.512862,0.4414705,0.4425725,0.459511,0.438134,0.42554349999999996,0.4596015,0.512862,0.5085145,0.5064315,0.5127714999999999,0.5701084999999999,0.544565,0.563949,0.5488225,0.5553444999999999,0.484091,0.39157600000000004,0.39990950000000003
0014,Sacramento-Goldenland Ct.,0.0875,0.1211955,0.0770835,0.126984,,,,,,,,0.1166665,0.158333,0.2190215,0.16041650000000002,0.185145,0.19375,0.18636350000000002,0.164583,0.20217400000000002,0.19375,0.20217400000000002,0.2270835,0.221105,0.19166650000000002,0.24675350000000001,0.24583349999999998,0.261775,0.2375,0.231884,0.2020835,0.2552535,0.24583349999999998,0.2574275,0.2104165,0.221377,0.2416665,0.29130449999999997,0.245833,0.2594205,0.26875,0.29130449999999997,0.24375,0.231884,0.26666650000000003,0.325634,0.32499999999999996,0.30842400000000003,0.260417,0.2361415,0.2104165,0.23844500000000002,0.2041665,0.2341485,0.2375,0.2530795,0.2041665
1001,Redwood City,0.302174,0.329801,0.346739,0.3361415,0.314855,0.3039855,0.20860499999999998,0.2,0.2086955,0.256111,0.3083335,0.212953,0.231884,0.204348,0.20217400000000002,0.234058,0.27029000000000003,0.25317049999999997,0.26159449999999995,0.280888,0.276449,0.27029000000000003,0.295652,0.26802499999999996,0.2530795,0.285326,0.295652,0.2722825,0.2869565,0.282971,0.3001815,0.35117750000000003,0.3065215,0.3065215,0.3041665,0.2934785,0.35493399999999997,0.34891300000000003,0.3086955,0.327627,0.35335150000000004,0.395652,0.325362,0.3086955,0.3788045,0.4082425,0.4403985,0.42336949999999995,0.374366,0.34692049999999997,0.39338799999999996,0.36168500000000003,0.3339675,0.304348,0.3619565,0.316938,0.29782600000000004
1002,Bethel Island,0.21920299999999998,0.2233695,0.2469205,0.3592105,0.4,0.286866,0.2,0.2,0.20652150000000002,0.2533515,0.3,0.2722825,0.2828805,0.5877715,0.429529,0.397826,0.29963799999999996,0.2,0.2,,,,,0.21627,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.204348,0.20652150000000002,0.20652150000000002,0.1934785,0.204348,0.2796055,0.2571555,0.2086955,0.23215550000000001,0.295652,0.3,0.295652,0.3,0.295652,0.287138,0.3,0.302174,0.3,0.3,0.265761,0.22146749999999998,0.276449,0.2936595,0.2934785,0.3,0.278714
1004,San Pablo,0.36168500000000003,0.372373,0.319538,0.3361415,0.3575185,0.37445649999999997,0.36802500000000005,0.36168500000000003,0.329801,0.374638,0.416848,0.368116,0.3766305,0.3701085,0.372464,0.40434800000000004,0.3272645,0.2810685,0.278714,0.28949250000000004,0.3086955,0.33188399999999996,0.34891300000000003,0.3574275,0.317029,0.376721,0.3766305,0.37228249999999996,0.36168500000000003,0.3766305,0.365942,0.374275,0.32345999999999997,0.351087,0.3788045,0.36159450000000004,0.4036185,0.374547,0.355163,0.352989,0.3703805,0.397826,0.395652,0.34891300000000003,0.374547,0.43206500000000003,0.45317050000000003,0.4722825,0.4403985,0.427627,0.4425725,0.5211955,0.408605,0.445644,0.47663049999999996,0.4488225,0.4065215
