Station,Site,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21
0001,San Rafael,10.8066666,6.403333399999999,6.3066666,6.508333400000001,6.815,8.105,7.403333399999999,6.5,7.3095652,9.613333399999998,12.2016666,10.9116666,18.5,14.4033334,8.209999999999999,8.605,9.4033334,7.911666600000001,5.5130434,9.516666599999999,10.3066666,7.903333399999999,8.016666599999999,7.212174,6.3182608,6.911666600000001,8.613333399999998,9.3066666,7.6049999999999995,8.815000000000001,9.008333400000001,11.315000000000001,8.815000000000001,8.4116666,9.4033334,11.5,15.315000000000001,10.105,10.4057142,12.5,20.4033334,24.0,17.7016666,15.4033334,11.2183334,15.315000000000001,12.815000000000001,13.4033334,10.3066666,11.315000000000001,12.4116666,11.4156522,8.4116666,8.2183334,6.75,,
0002,Concord,6.0166666,4.7054546,4.403333399999999,5.1133334,4.21,8.815000000000001,6.5,5.3066666,3.0,5.1147826,10.9033334,8.508333400000001,13.3066666,9.3066666,3.2183334,4.9116666,3.6049999999999995,3.3182608,2.0,3.315,4.0,2.7183334,3.2183334,2.5,3.7183334,1.7016666,4.1133334,3.9033333999999997,2.7183334,5.4033334,3.815,6.0,6.5043478,4.218333400000001,4.1133334,6.0,13.209999999999999,8.209999999999999,7.6049999999999995,9.8066666,13.605,17.5,12.7016666,9.2183334,7.415652199999999,9.113333399999998,10.2183334,10.209999999999999,7.718333400000001,6.6049999999999995,6.8066666,6.3149999999999995,5.21,2.7016666000000003,4.3149999999999995,4.7016666,2.9116665999999998
0003,Napa,13.3066666,7.911666600000001,7.016666599999999,8.9033334,7.903333399999999,11.709999999999999,10.315000000000001,9.7183334,6.415652199999999,8.2183334,10.212174,11.4116666,18.911666599999997,14.5,9.508333400000001,8.4116666,8.815000000000001,5.3066666,7.3066666,10.4116666,9.6133334,6.5,7.6049999999999995,6.1133334,5.0,5.6191303999999995,7.411666600000001,7.709999999999999,6.153846,8.605,7.016666599999999,9.008333400000001,9.016666599999999,8.3095652,8.613333399999998,10.2016666,15.4116666,10.7016666,11.6017392,13.516666599999999,23.0166666,23.5,18.113333400000002,14.5,9.7016666,13.508333400000001,14.209999999999999,13.7016666,8.315000000000001,11.709999999999999,10.105,10.4033334,8.105,5.8052174,8.008333400000001,6.903333399999999,6.508333400000001
0003,Yuba City,,,,7.5,14.4,16.9,14.0,11.4,12.6,12.2,22.5,17.3,15.2,19.3,10.0,9.8,6.6,5.3,5.8,7.5,9.1,6.8,,,,,,,6.1,,7.2,8.2,11.3,9.5,7.4,9.5,18.5,13.1,11.0,41.8,,12.7,,,,10.4,12.5,9.7,7.9,,6.3,,6.3,4.4,6.4,10.7,4.5
0004,Sebastopol,10.9116666,6.5,5.613333399999999,6.411666600000001,5.6049999999999995,8.605,8.105,8.105,5.7016666,5.0083334,9.315000000000001,11.5043478,14.008333400000001,13.9033334,7.5,8.709999999999999,6.8066666,4.6133334,5.1133334,10.209999999999999,8.105,5.3066666,6.8066666,6.009091,6.1133334,5.9116666,8.5,8.3066666,7.303636399999999,6.0166666,8.008333400000001,8.0086956,6.613333399999999,7.7016666,8.209999999999999,9.605,13.2016666,8.8066666,11.5,15.716521799999999,26.2183334,24.0166666,17.5,12.8066666,9.113333399999998,11.5,10.9033334,9.8066666,8.2183334,12.0,12.0,9.7183334,8.815000000000001,10.0173914,7.8066666,8.2183334,8.508333400000001
0004,Vallejo,11.008333400000001,7.1049999999999995,6.0525,7.4116667000000005,7.4623716,12.2016666,10.310833400000002,9.907499999999999,6.1091666,7.266666599999999,9.8066667,11.056666600000002,18.464166699999996,13.903333299999996,7.556666700000001,7.705833299999999,6.907500000000001,5.508333399999999,5.663478299999999,9.0083333,8.863333400000002,6.056666600000002,6.9641666,5.0125,5.363333299999999,5.701666600000001,7.8549999999999995,7.3591667,5.8508333,7.306666700000001,6.3108334,8.3591667,7.059762900000001,6.810833400000002,8.806666700000001,9.105,14.709999999999999,8.2058333,10.1533333,13.210000000000003,20.508333299999997,22.46,15.6091666,12.117500000000001,10.0083333,15.004166700000003,13.667826099999996,11.5125,8.565,10.407499999999999,9.459999999999999,7.714166700000002,6.560833299999999,6.665833299999998,7.355000000000001,6.359166700000001,5.609166700000001
0005,San Francisco,10.4033334,5.6049999999999995,6.0086956,3.7183334,6.0166666,9.209999999999999,7.411666600000001,5.5083334,2.2016666000000003,3.9116666,5.716521800000001,7.3066666,14.4156522,11.0,3.4033333999999997,6.6191304,3.0083334,3.7016666000000003,2.5,5.6049999999999995,5.5,3.315,3.9033333999999997,2.0173914,2.8066666,3.3066666,4.1133334,4.21,3.5,5.6133334,3.5,6.6191304,3.212174,4.5166666,6.21,7.3066666,11.516666599999999,5.3149999999999995,7.411666600000001,12.008333400000001,17.509091,19.5083334,11.709999999999999,10.209999999999999,7.508333400000001,11.709999999999999,9.9113044,10.016666599999999,10.113333399999998,10.815000000000001,7.815,6.8,4.8066666,4.5166666,4.9033334,4.21,2.605
0005,San Jose - Jackson,10.209999999999999,8.140740777777776,6.0083334,6.6049999999999995,7.803864777777777,11.3066666,10.105,5.272222222222222,4.8149999999999995,4.8066666,9.591666666666667,8.2183334,12.3066666,12.214814777777775,5.4033334,5.5083334,5.362962999999999,5.5,,6.13,8.0,4.4033334,7.259259222222223,3.6049999999999995,2.6133334,4.286111111111111,3.6133333999999997,3.5,4.028703666666667,5.21,7.2016666,7.666666666666667,8.2034782,7.709999999999999,7.077777777777777,5.7016666,10.008333400000001,9.037963000000001,6.0,8.3066666,13.182407444444447,25.2183334,14.7183334,12.575000000000003,10.815000000000001,13.4033334,13.5555556,,,10.0,12.133333,9.008333400000001,8.811594222222222,3.1133334,8.016666599999999,7.135185222222221,4.0
0006,Sacramento-Del Paso Manor,7.1,5.1,,6.0,6.1,7.7,8.5,9.0,6.6,11.3,17.7,13.0,13.5,15.4,6.8,6.3,5.0,3.4,4.1,6.550000000000001,5.6,4.4,6.0,5.5,4.1,5.1,4.8,5.5,4.3,,,7.250000000000001,7.4,6.4,5.3,5.5,11.4,13.5,,,14.1,15.2,13.2,9.2,7.3,9.8,12.6,10.8,7.5,7.0,5.8,6.5,5.1,3.9,5.8,5.05,4.0
0006,San Jose - Knox Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.709999999999999,7.903333400000001,8.209999999999999,12.9116666,24.3066666,15.709999999999999,13.209999999999999,10.209999999999999,15.0,13.3095652,11.2016666,9.016666599999999,10.516666599999999,9.008333400000001,6.3149999999999995,6.1133334,1.5083334000000002,4.2016666,5.0083334,3.71
