Station,Site,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21
0001,San Rafael,4.043478,6.268182,7.017391,5.578261,6.213043,6.582609,4.5,3.204348,4.913636,8.786957,9.295652,5.43913,5.96087,4.430435,3.808696,6.559091,5.259091,5.09,5.186957,6.656522,5.356522,4.0,4.481818,4.6,3.830435,5.756522,5.347826,4.591304,4.643478,4.982609,6.091304,8.586957,6.743478,6.834783,4.121739,4.486957,6.031579,5.347826,6.76087,7.435294,7.873913,5.913043,4.095652,7.730435,7.817391,15.23913,9.826087,10.247826,5.865217,6.673913,6.813043,8.121739,5.391304,6.204348,9.886957,5.091304,4.369565
0002,Concord,3.56087,5.045455,6.773913,8.143478,8.126087,9.947826,4.134783,2.621739,4.36087,10.095652,8.735294,4.804348,4.008696,1.1,1.334783,3.543478,3.478261,2.552174,3.556522,3.986957,3.334783,2.704348,2.373913,2.13913,2.126087,3.556522,3.530435,1.947826,1.569565,2.569565,4.978261,6.295652,6.382609,5.26087,2.534783,2.347826,3.252632,3.67,4.530435,4.486957,4.1,3.878261,2.873913,4.16087,6.347826,9.656522,11.46087,12.347826,7.93913,4.426087,3.656522,4.86087,4.456522,1.8,4.878261,3.673913,2.217391
0002,North Highlands-Blackfoot,3.869565,4.478261,5.565217,6.565217,7.086957,8.26087,5.391304,4.391304,10.043478,9.73913,8.608696,6.521739,6.521739,4.782609,4.130435,5.478261,3.782609,3.695652,6.956522,4.631579,4.652174,4.217391,5.565217,4.043478,3.478261,5.956522,5.347826,4.434783,3.086957,3.521739,4.782609,6.73913,7.434783,8.304348,4.73913,4.695652,7.608696,6.565217,6.304348,7.173913,6.304348,4.652174,4.086957,4.826087,10.782609,16.695652,17.521739,15.826087,10.782609,5.434783,6.0,7.347826,6.391304,4.428571,8.217391,4.652174,2.652174
0003,Napa,3.626087,3.321739,4.534783,3.53913,3.734783,4.93913,2.234783,1.76087,3.091304,8.991304,7.056522,3.823529,4.004348,2.886957,1.358824,3.771429,3.408696,2.830435,3.673913,5.46087,4.173913,2.13913,2.556522,2.217391,2.3,3.505,2.717391,2.586957,2.88,3.156522,4.278261,5.852174,5.713043,5.321739,4.278261,4.356522,4.621053,4.617391,3.704348,4.295652,5.191304,5.46087,4.03913,4.978261,5.730435,8.96087,9.695455,9.486957,5.608696,4.521739,5.947826,6.513043,5.065217,4.726087,6.282609,3.413043,3.117391
0003,Yuba City,5.408696,3.991304,5.286957,6.552174,6.930435,7.326087,3.704348,2.552174,6.891304,7.721739,8.395652,6.017391,5.143478,3.782609,3.413043,5.708696,3.1,3.104348,4.265217,5.165217,4.808696,3.943478,4.23913,3.795652,2.734783,4.543478,3.078261,4.565217,2.491304,2.426087,3.7,4.704348,6.2,7.278261,4.821739,5.234783,5.517391,5.130435,7.830435,6.865217,5.722222,3.817391,3.134783,3.217391,8.213043,10.934783,11.434783,10.295652,10.269565,7.178261,4.578261,5.808696,5.765217,5.482609,7.747826,5.3,3.086957
0004,Davis-UCD Campus,4.578261,4.673913,5.891304,5.247826,6.247826,6.321739,3.313043,2.46087,6.047826,5.626087,6.413043,6.234783,4.395652,3.582609,3.547826,6.352174,3.117391,3.578261,4.682609,5.021739,3.730435,3.191304,3.652174,3.521739,3.778261,4.221739,3.36087,4.06087,2.96087,2.882609,5.066667,4.391304,5.126087,6.117391,4.430435,4.334783,6.504348,5.613043,4.691304,5.291304,4.878261,4.382609,3.643478,5.056522,5.456522,8.13913,9.326087,9.847826,10.2,,,,,5.642857,6.7,4.33913,3.5
0004,Sebastopol,1.33913,1.617391,1.608696,1.630435,1.995652,2.726087,1.034783,1.0,1.782609,3.843478,2.617391,1.813043,2.369565,1.808696,1.626087,2.034783,2.695652,2.108696,2.013043,2.143478,1.33913,1.026087,2.213043,1.48,2.478261,1.904348,1.373913,1.108696,0.881818,1.769565,1.726087,2.605556,1.526087,2.034783,2.526087,1.691304,2.278947,2.440909,1.591304,1.865217,4.63913,2.669565,1.843478,2.908696,2.447826,4.3,4.2,4.004348,1.869565,2.065217,3.53913,2.904348,1.726087,3.730435,3.321739,1.586957,1.691304
0004,Vallejo,3.395652,3.686957,3.965217,4.2,4.863636,5.386957,2.56087,2.143478,3.185714,5.791304,6.065217,4.105556,4.630435,2.378261,2.204348,2.890909,2.273913,2.018182,4.091304,3.504348,2.76087,2.343478,2.752174,2.163636,1.778261,3.556522,2.547826,2.586957,1.834783,2.304348,3.004348,3.782609,3.456522,4.047826,4.886957,3.36087,4.426316,3.152174,3.26087,3.717391,3.091304,2.421739,1.726087,1.769565,4.6,10.330435,8.482609,6.986957,3.673913,2.865217,2.513043,3.488889,2.786957,4.165217,4.534783,2.4,1.126087
0005,San Francisco,3.047826,4.278947,6.578261,4.395652,5.421739,5.717391,3.165217,2.556522,4.826087,8.722222,8.913043,4.286957,3.678261,2.743478,2.852174,4.986957,4.743478,4.621739,3.895652,5.413043,3.430435,2.843478,4.46087,5.369565,4.795652,5.578261,3.717391,3.743478,2.713043,4.643478,6.004348,6.573913,5.673913,4.730435,3.713043,2.769565,4.631579,4.330435,6.878261,6.278261,6.530435,4.234783,3.273913,5.182609,7.591304,15.173913,12.526087,9.76087,4.978261,4.63913,6.082609,8.825,5.6,6.069565,6.386957,3.978261,3.056522
0005,San Jose - Jackson,6.236364,9.436364,10.536364,9.177273,10.354545,11.222727,5.518182,4.086364,6.645455,8.486364,11.85,8.818182,8.5,6.309091,4.322727,8.2,6.218182,6.581818,10.75,9.031818,8.063636,5.222727,7.868182,5.904545,5.813636,7.95,7.177273,4.877273,4.195455,6.147619,10.863636,12.2,9.468182,10.459091,8.954545,6.272727,7.968421,8.654545,6.931818,8.927273,7.509091,7.590909,4.895455,7.454545,12.861111,20.7,17.554545,16.268182,9.868182,7.795455,10.068182,12.763636,11.477273,5.531818,9.722727,7.536364,3.368182
0006,Sacramento-Del Paso Manor,,2.3125,3.363636,3.791667,4.333333,5.625,2.045455,0.5,3.708333,5.125,3.318182,2.166667,2.083333,1.166667,1.227273,2.958333,1.541667,2.083333,3.227273,3.227273,2.541667,1.833333,1.772727,1.75,0.583333,3.333333,2.636364,2.083333,0.916667,1.583333,2.181818,2.458333,2.958333,3.041667,1.545455,1.166667,3.125,2.416667,3.590909,4.291667,3.208333,2.208333,1.5,2.166667,7.125,12.083333,10.272727,10.083333,7.375,3.125,3.136364,4.958333,3.25,1.761905,3.909091,1.541667,0.25
0006,San Jose - Knox Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.815,14.72381,13.973913,16.113043,16.043478,15.134783,10.995652,15.286957,17.613043,26.182609,26.46087,23.469565,16.982609,14.326087,15.665217,19.404545,14.926087,12.434783,15.769565,12.630435,7.604348
0007,Livermore,6.521739,9.16087,11.03913,13.317647,11.252174,11.378261,5.691304,3.321739,7.517391,5.930435,9.73913,7.895652,6.804348,3.534783,3.917391,7.969565,6.430435,5.704348,8.578261,9.934783,7.256522,5.495652,5.591304,4.934783,4.83913,8.321739,6.8,5.104348,3.426087,4.482609,7.830435,10.63913,11.343478,8.817391,4.973913,3.617391,6.189474,7.430435,8.765217,8.526087,9.017391,5.421739,3.947826,5.382609,10.495652,15.73913,16.83913,18.26087,11.182609,7.143478,7.856522,9.885,6.965217,3.356522,9.838095,4.891304,1.434783
0009,Oakland,8.213043,9.008696,12.973913,11.234783,10.726087,10.026087,3.421739,3.047826,6.585714,12.030435,12.534783,5.243478,5.965217,3.365217,3.486957,8.265217,5.104348,5.26087,8.734783,11.021739,7.782609,4.156522,3.359091,5.03913,4.673913,9.678261,4.109091,4.03913,3.5,4.517391,6.882609,12.343478,9.373913,6.027273,5.33913,3.765217,8.442105,4.96087,7.883333,9.143478,8.334783,5.430435,5.226087,4.526087,9.413043,16.891304,16.843478,16.143478,9.978261,9.330435,7.730435,10.873913,5.854545,5.895652,9.704348,4.626087,2.330435
0010,Sacramento-1309 T Street,4.769565,4.413043,5.821739,5.96087,5.86087,9.508696,4.278261,3.386957,6.582609,10.456522,8.908696,5.46087,5.582609,4.813043,3.869565,5.221739,4.330435,3.543478,5.26087,5.495652,4.995652,3.895652,4.404348,3.730435,3.76087,5.691304,4.743478,4.752174,2.986957,3.513043,5.095652,6.356522,6.989474,6.117391,7.304348,5.404348,7.773913,6.365217,7.8,8.847826,6.030435,4.865217,3.630435,4.26087,11.230435,18.830435,20.873913,18.656522,9.073913,5.113043,5.182609,9.617391,5.978261,5.626087,8.391304,5.169565,3.213043
0011,Elk Grove-Bruceville,2.708333,4.086957,3.130435,3.869565,3.333333,3.869565,2.541667,2.086957,2.583333,4.652174,5.583333,3.826087,3.458333,2.565217,1.875,2.608696,1.875,2.173913,3.125,2.826087,2.333333,2.347826,3.291667,2.478261,1.791667,2.478261,3.190476,1.782609,1.416667,1.608696,2.166667,3.157895,4.458333,3.695652,2.958333,2.652174,4.041667,4.695652,2.875,3.565217,2.666667,2.478261,1.708333,4.173913,4.26087,6.521739,7.238095,7.0,3.5,2.565217,2.75,3.217391,3.625,3.26087,3.333333,2.652174,1.0
