Station,Site,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21
0001,Cloverdale,14.2291665,9.1875,10.1666665,13.2083335,11.25,18.020833500000002,13.2916665,9.0208335,8.4375,7.2083335,20.041666499999998,19.0,21.3636365,28.583333,,,8.1,6.1875,15.2291665,11.1458335,12.0625,9.0,9.3125,9.2916665,3.4791665,8.3958335,9.1666665,10.375,5.3125,5.2916665,8.3333335,12.2708335,11.25,13.2708335,5.1458335,5.0833335,13.25,17.395833500000002,12.4583335,16.416666499999998,27.020833500000002,25.208333500000002,20.1875,15.236842,14.3958335,15.2708335,17.479166499999998,16.3125,15.0,11.4375,13.4583335,11.3125,10.1041665,7.2291665,9.2291665,7.3541665,7.0833335
0001,San Rafael,,9.0,,,,,,8.0,,,,,,16.0,,,,,,9.0,,,,,,6.0,,,,,,14.0,,,,,,11.0,,,,,,16.0,,,,,,12.0,,,,,,8.0,
0002,Concord,,,,,,,,9.0,,,,,,,,,,,,8.0,,,,,,,,,,,,17.0,,,,,,,,,,,,18.0,,,,,,,,,,,,8.0,
0002,Healdsburg-Matheson,20.0,10.4583335,13.125,15.3125,14.0208335,20.333333500000002,13.0625,9.0,7.3125,9.4166665,17.479166499999998,25.104166499999998,30.354166499999998,29.041666499999998,,,6.266667,7.3958335,13.2083335,13.0833335,13.375,7.1666665,12.0416665,8.0416665,4.3333335,8.25,11.125,12.2916665,7.0,7.2916665,10.3541665,14.4375,13.125,14.2708335,16.0625,15.1875,23.145833500000002,18.125,14.1041665,19.145833500000002,31.020833500000002,26.208333500000002,21.4375,16.395833500000002,20.022727500000002,28.0625,25.375,23.333333500000002,17.229166499999998,14.2916665,17.333333500000002,20.458333500000002,13.375,10.3958335,11.3541665,5.4583335,7.3541665
0002,North Highlands-Blackfoot,,15.0,,,,,,15.0,,,,,,26.0,,,,,,15.0,,,,,,13.0,,,,,,20.0,,,,,,24.0,,,,,,23.0,,,,,,17.0,,,,,,15.0,
0003,Napa,,11.0,,,,,,9.5,,,,,,22.0,,,,,,14.5,,,,,,11.0,,,,,,17.5,,,,,,17.5,,,,,,19.5,,,,,,15.5,,,,,,10.0,
0003,Yuba City,30.270833500000002,28.1086955,29.416666499999998,27.166666499999998,33.166666500000005,29.395833500000002,31.125,27.0,37.25,24.208333500000002,35.4565215,36.354166500000005,39.1875,40.347826,26.333333500000002,32.145833499999995,26.166666499999998,19.020833500000002,21.020833500000002,26.416666499999998,28.125,21.104166499999998,25.4375,28.227272499999998,21.333333500000002,24.0,23.375,30.291666499999998,23.4375,30.208333500000002,28.458333500000002,32.270833499999995,33.270833499999995,36.125,28.0625,27.208333500000002,40.145833499999995,37.4347825,36.416666500000005,40.083333499999995,41.369565,39.145833499999995,29.4130435,37.270833499999995,36.4375,51.125,46.0625,35.020833499999995,40.25,27.020833500000002,36.0625,36.108695499999996,42.479166500000005,26.291666499999998,32.354166500000005,34.416666500000005,20.3125
0005,San Francisco,,,,,,,,11.0,,,,,,,,,,,,8.0,,,,,,,,,,,,13.0,,,,,,,,,,,,16.0,,,,,,,,,,,,7.0,
0005,San Jose - Jackson,,20.0,,,18.0,,,12.0,,,19.0,,,26.0,,,13.0,,,14.0,,,16.0,,,13.0,,,10.0,,,21.0,,,18.0,,,22.0,,,27.0,,,25.0,,,29.0,,,17.0,,,21.0,,,14.0,
0006,Sacramento-Del Paso Manor,,14.0,,,,,,12.5,,,,,,23.5,,,,,,14.0,,,,,,11.5,,,,,,18.5,,,,,,23.0,,,,,,17.5,,,,,,14.0,,,,,,12.0,
0010,Sacramento-1309 T Street,18.395833500000002,15.4166665,17.458333500000002,17.479166499999998,20.0625,24.152174000000002,19.270833500000002,17.0625,19.333333500000002,25.166666499999998,28.4375,26.270833500000002,33.125,31.25,14.4791665,16.4375,16.166666499999998,10.125,13.2608695,17.020833500000002,16.145833500000002,11.2083335,16.354166499999998,15.4166665,12.25,16.416666499999998,14.4166665,17.395833500000002,13.375,14.1666665,18.25,22.195652000000003,25.217391499999998,19.1875,23.395833500000002,18.270833500000002,30.020833500000002,27.229166499999998,28.270833500000002,34.291666500000005,37.416666500000005,35.458333499999995,25.4375,26.4375,25.2608695,31.354166499999998,37.020833499999995,28.270833500000002,23.479166499999998,18.3125,24.229166499999998,23.166666499999998,19.3125,11.1458335,21.395833500000002,19.354166499999998,14.0208335
0014,Sacramento-Goldenland Ct.,9.4791665,9.847222333333333,9.4375,10.2708335,10.2708335,16.291666499999998,13.2708335,11.069444333333331,8.2916665,8.4166665,12.1666665,14.1666665,17.083333500000002,19.430555666666667,8.4375,10.2916665,9.4375,6.3125,8.1458335,12.305555666666669,9.0625,8.4166665,9.3125,9.0,8.0,10.333333333333334,8.3958335,10.2083335,8.1458335,10.0416665,11.0,14.527777666666665,13.3125,11.1875,12.1041665,10.0625,15.4166665,17.958333333333332,14.1041665,17.229166499999998,19.1190475,18.479166499999998,15.0416665,15.555555666666669,13.0208335,17.25,19.020833500000002,14.0416665,13.1458335,11.916666666666666,13.4791665,14.0833335,11.4375,7.1666665,12.3541665,12.013889,7.2291665
0284,Sacramento-Branch Center #2,,27.0,,,,,,14.0,,,,,,29.0,,,,,,27.0,,,,,,19.0,,,,,,38.0,,,,,,45.0,,,,,,25.0,,,,,,16.0,,,,,,17.0,
1002,Bethel Island,,,,,,,,11.0,,,,,,,,,,,,,,,,,,8.0,,,,,,15.0,,,,,,,,,,,,19.0,,,,,,,,,,,,12.0,
1002,Colusa-Sunrise Blvd,,,,,,,,,,,32.0,,,35.0,,,,,,27.0,,,,,,27.0,,,,,,36.0,,,,,,56.0,,,,,,41.0,,,,,,33.0,,,,,,35.0,
1003,Woodland-Gibson Road,,,,18.0,,,,17.0,,,,,,29.0,,,,,,23.0,,,,,,14.0,,,,,,26.0,,,,,,31.0,,,,,,34.0,,,,,,21.0,,,,,,26.0,
1004,San Pablo,,9.0,,,,,,9.0,,,,,,19.0,,,,,,9.0,,,,,,7.0,,,,,,15.0,,,,,,17.0,,,,,,18.0,,,,,,14.0,,,,,,8.0,
2001,West Sacramento-15th Street,,,,17.0,,,,13.0,,,,,,27.0,,,,,,15.0,,,,,,12.0,,,,,,18.0,,,,,,24.0,,,,,,22.0,,,,,,15.0,,,,,,16.0,
3001,Lakeport-Lakeport Blvd.,,11.0,,,,,,19.0,,,,,,24.0,,,,,,16.0,,,,,,14.0,,,,,,18.0,,,,,,22.0,,,,,,15.0,,,,,,15.0,,,,,,11.0,
3001,Vacaville-Merchant Street,,,,11.0,,,,10.0,,,,,,21.0,,,,,,12.0,,,,,,9.0,,,,,,14.0,,,,,,16.0,,,,,,15.0,,,,,,12.0,,,,,,7.0,
3002,Guerneville-Church and 1st,14.2916665,5.25,5.0416665,6.0625,5.3125,12.2916665,15.3125,9.1458335,5.1875,6.3541665,12.2291665,20.340909,32.354166500000005,32.0652175,17.270833500000002,15.3333335,11.1666665,12.0416665,11.3958335,16.229166499999998,14.1666665,8.3125,11.25,8.1458335,5.3333335,8.0,13.1875,11.4375,11.1041665,8.375,10.1136365,10.4791665,11.0416665,18.0625,24.166666499999998,30.291666499999998,27.1875,17.104166499999998,15.1875,19.4375,37.041666500000005,30.479166499999998,22.083333500000002,16.125,14.326087000000001,21.041666499999998,14.3125,13.3333335,12.25,13.3541665,16.083333500000002,15.3333335,11.347826000000001,13.0625,13.3125,10.1041665,13.4375
3005,Tracy-Airport,23.227272499999998,29.479166499999998,19.479166499999998,32.352941,27.416666499999998,35.309523999999996,26.35,22.145833500000002,19.125,21.229166499999998,22.204545500000002,26.083333500000002,33.270833499999995,28.041666499999998,22.145833500000002,23.0625,23.083333500000002,14.25,12.2708335,19.4375,20.354166499999998,14.2083335,21.416666499999998,20.25,22.263158,19.3055555,20.083333500000002,17.354166499999998,14.3333335,22.1875,26.208333500000002,34.458333499999995,33.375,24.25,17.431818,17.125,32.4375,35.333333499999995,28.104166499999998,42.0625,38.1875,40.270833499999995,29.375,35.208333499999995,30.020833500000002,38.0238095,40.083333499999995,34.270833499999995,34.291666500000005,26.3125,38.375,34.020833499999995,33.3125,22.0,14.4583335,25.083333500000002,17.458333500000002
3010, STOCKTON-WAGNER/HOLT,,20.0,,,,,,13.0,,,,,,27.0,,,,,,12.0,,,,,,14.0,,,,,,22.0,,,,,,42.0,,,,,,28.0,,,,,,15.0,,,,,,,
3010,ANDERSON SPRINGS,,7.0,,,,,,16.0,,,,,,35.0,,,,,,12.0,,,,,,11.0,,,,,,13.0,,,,,,13.0,,,,,,10.0,,,,,,12.0,,,,,,9.0,
3011,GLENBROOK,,9.0,,,,,,19.0,,,,,,27.0,,,,,,11.0,,,,,,12.0,,,,,,13.0,,,,,,15.0,,,,,,10.0,,,,,,10.0,,,,,,9.0,
4001,Sacramento Health Department-Stockton Blvd.,,13.0,,,,,,13.0,,,,,,24.0,,,,,,15.0,,,,,,12.0,,,,,,17.0,,,,,,24.0,,,,,,18.0,,,,,,15.0,,,,,,,
