,Parameter,Date,Time,County,Station,Measurement,Unit
0,Carbon monoxide,1992-07-05,23:00,San Bernardino,9004,2.0,Parts per million
1,Carbon monoxide,1992-07-05,22:00,San Bernardino,9004,2.0,Parts per million
2,Carbon monoxide,1992-07-05,21:00,San Bernardino,9004,1.0,Parts per million
3,Carbon monoxide,1992-07-05,20:00,San Bernardino,9004,1.0,Parts per million
4,Carbon monoxide,1992-07-05,19:00,San Bernardino,9004,1.0,Parts per million
5,Carbon monoxide,1992-07-05,18:00,San Bernardino,9004,1.0,Parts per million
6,Carbon monoxide,1992-07-05,17:00,San Bernardino,9004,1.0,Parts per million
7,Carbon monoxide,1992-07-05,16:00,San Bernardino,9004,1.0,Parts per million
8,Carbon monoxide,1992-07-05,15:00,San Bernardino,9004,1.0,Parts per million
9,Carbon monoxide,1992-07-05,14:00,San Bernardino,9004,1.0,Parts per million
10,Carbon monoxide,1992-07-05,13:00,San Bernardino,9004,0.0,Parts per million
11,Carbon monoxide,1992-07-05,12:00,San Bernardino,9004,0.0,Parts per million
12,Carbon monoxide,1992-07-05,11:00,San Bernardino,9004,0.0,Parts per million
13,Carbon monoxide,1992-07-05,10:00,San Bernardino,9004,0.0,Parts per million
14,Carbon monoxide,1992-07-05,09:00,San Bernardino,9004,1.0,Parts per million
15,Carbon monoxide,1992-07-05,08:00,San Bernardino,9004,1.0,Parts per million
16,Carbon monoxide,1992-07-05,07:00,San Bernardino,9004,1.0,Parts per million
17,Carbon monoxide,1992-07-05,06:00,San Bernardino,9004,1.0,Parts per million
18,Carbon monoxide,1992-07-05,05:00,San Bernardino,9004,1.0,Parts per million
19,Carbon monoxide,1992-07-05,03:00,San Bernardino,9004,1.0,Parts per million
20,Carbon monoxide,1992-07-05,02:00,San Bernardino,9004,1.0,Parts per million
21,Carbon monoxide,1992-07-05,01:00,San Bernardino,9004,1.0,Parts per million
22,Carbon monoxide,1992-07-05,00:00,San Bernardino,9004,1.0,Parts per million
23,Carbon monoxide,1992-07-04,23:00,San Bernardino,9004,1.0,Parts per million
24,Carbon monoxide,1992-07-04,22:00,San Bernardino,9004,1.0,Parts per million
25,Carbon monoxide,1992-07-04,21:00,San Bernardino,9004,1.0,Parts per million
26,Carbon monoxide,1992-07-04,20:00,San Bernardino,9004,1.0,Parts per million
27,Carbon monoxide,1992-07-04,19:00,San Bernardino,9004,1.0,Parts per million
28,Carbon monoxide,1992-07-04,18:00,San Bernardino,9004,1.0,Parts per million
29,Carbon monoxide,1992-07-04,17:00,San Bernardino,9004,1.0,Parts per million
30,Carbon monoxide,1992-07-04,16:00,San Bernardino,9004,1.0,Parts per million
31,Carbon monoxide,1992-07-04,15:00,San Bernardino,9004,1.0,Parts per million
32,Carbon monoxide,1992-07-04,14:00,San Bernardino,9004,0.0,Parts per million
33,Carbon monoxide,1992-07-04,13:00,San Bernardino,9004,0.0,Parts per million
34,Carbon monoxide,1992-07-04,12:00,San Bernardino,9004,1.0,Parts per million
35,Carbon monoxide,1992-07-04,11:00,San Bernardino,9004,0.0,Parts per million
36,Carbon monoxide,1992-07-04,10:00,San Bernardino,9004,1.0,Parts per million
37,Carbon monoxide,1992-07-04,09:00,San Bernardino,9004,1.0,Parts per million
38,Carbon monoxide,1992-07-04,08:00,San Bernardino,9004,1.0,Parts per million
39,Carbon monoxide,1992-07-04,07:00,San Bernardino,9004,1.0,Parts per million
40,Carbon monoxide,1992-07-04,06:00,San Bernardino,9004,1.0,Parts per million
41,Carbon monoxide,1992-07-04,05:00,San Bernardino,9004,1.0,Parts per million
42,Carbon monoxide,1992-07-04,03:00,San Bernardino,9004,1.0,Parts per million
43,Carbon monoxide,1992-07-04,02:00,San Bernardino,9004,1.0,Parts per million
44,Carbon monoxide,1992-07-04,01:00,San Bernardino,9004,1.0,Parts per million
45,Carbon monoxide,1992-07-04,00:00,San Bernardino,9004,1.0,Parts per million
46,Carbon monoxide,1992-07-03,23:00,San Bernardino,9004,1.0,Parts per million
47,Carbon monoxide,1992-07-03,22:00,San Bernardino,9004,1.0,Parts per million
48,Carbon monoxide,1992-07-03,21:00,San Bernardino,9004,1.0,Parts per million
49,Carbon monoxide,1992-07-03,20:00,San Bernardino,9004,1.0,Parts per million
50,Carbon monoxide,1992-07-03,19:00,San Bernardino,9004,1.0,Parts per million
51,Carbon monoxide,1992-07-03,18:00,San Bernardino,9004,1.0,Parts per million
52,Carbon monoxide,1992-07-03,17:00,San Bernardino,9004,1.0,Parts per million
53,Carbon monoxide,1992-07-03,16:00,San Bernardino,9004,1.0,Parts per million
54,Carbon monoxide,1992-07-03,15:00,San Bernardino,9004,1.0,Parts per million
55,Carbon monoxide,1992-07-03,14:00,San Bernardino,9004,1.0,Parts per million
56,Carbon monoxide,1992-07-03,13:00,San Bernardino,9004,1.0,Parts per million
