,Parameter,Date,Time,County,Station,Measurement,Unit
0,Ozone,2019-05-10,00:00,Kay,9010,0.015,Parts per million
1,Ozone,2019-05-10,01:00,Kay,9010,0.013,Parts per million
2,Ozone,2019-05-10,02:00,Kay,9010,0.012,Parts per million
3,Ozone,2019-05-10,03:00,Kay,9010,0.009,Parts per million
4,Ozone,2019-05-10,04:00,Kay,9010,0.005,Parts per million
5,Ozone,2019-05-10,05:00,Kay,9010,0.003,Parts per million
6,Ozone,2019-05-10,06:00,Kay,9010,0.007,Parts per million
7,Ozone,2019-05-10,07:00,Kay,9010,0.023,Parts per million
8,Ozone,2019-05-10,08:00,Kay,9010,0.033,Parts per million
9,Ozone,2019-05-10,09:00,Kay,9010,0.037,Parts per million
10,Ozone,2019-05-10,10:00,Kay,9010,0.039,Parts per million
11,Ozone,2019-05-10,11:00,Kay,9010,0.04,Parts per million
12,Ozone,2019-05-10,12:00,Kay,9010,0.04,Parts per million
13,Ozone,2019-05-10,13:00,Kay,9010,0.04,Parts per million
14,Ozone,2019-05-10,14:00,Kay,9010,0.04,Parts per million
15,Ozone,2019-05-10,15:00,Kay,9010,0.04,Parts per million
16,Ozone,2019-05-10,16:00,Kay,9010,0.04,Parts per million
17,Ozone,2019-05-10,17:00,Kay,9010,0.039,Parts per million
18,Ozone,2019-05-10,18:00,Kay,9010,0.038,Parts per million
19,Ozone,2019-05-10,19:00,Kay,9010,0.034,Parts per million
20,Ozone,2019-05-10,20:00,Kay,9010,0.032,Parts per million
21,Ozone,2019-05-10,21:00,Kay,9010,,Parts per million
22,Ozone,2019-05-10,22:00,Kay,9010,,Parts per million
23,Ozone,2019-05-10,23:00,Kay,9010,0.023,Parts per million
24,Ozone,2019-05-11,00:00,Kay,9010,0.022,Parts per million
25,Ozone,2019-05-11,01:00,Kay,9010,0.02,Parts per million
26,Ozone,2019-05-11,02:00,Kay,9010,0.021,Parts per million
27,Ozone,2019-05-11,03:00,Kay,9010,0.023,Parts per million
28,Ozone,2019-05-11,04:00,Kay,9010,0.023,Parts per million
29,Ozone,2019-05-11,05:00,Kay,9010,0.027,Parts per million
30,Ozone,2019-05-11,06:00,Kay,9010,0.027,Parts per million
31,Ozone,2019-05-11,07:00,Kay,9010,0.029,Parts per million
32,Ozone,2019-05-11,08:00,Kay,9010,0.031,Parts per million
33,Ozone,2019-05-11,09:00,Kay,9010,0.033,Parts per million
34,Ozone,2019-05-11,10:00,Kay,9010,0.034,Parts per million
35,Ozone,2019-05-11,11:00,Kay,9010,0.034,Parts per million
36,Ozone,2019-05-11,12:00,Kay,9010,0.034,Parts per million
37,Ozone,2019-05-11,13:00,Kay,9010,0.035,Parts per million
38,Ozone,2019-05-11,14:00,Kay,9010,0.033,Parts per million
39,Ozone,2019-05-11,15:00,Kay,9010,0.034,Parts per million
40,Ozone,2019-05-11,16:00,Kay,9010,0.034,Parts per million
41,Ozone,2019-05-11,17:00,Kay,9010,0.034,Parts per million
42,Ozone,2019-05-11,18:00,Kay,9010,0.029,Parts per million
43,Ozone,2019-05-11,19:00,Kay,9010,0.028,Parts per million
44,Ozone,2019-05-11,20:00,Kay,9010,0.019,Parts per million
45,Ozone,2019-05-11,21:00,Kay,9010,,Parts per million
46,Ozone,2019-05-11,22:00,Kay,9010,,Parts per million
47,Ozone,2019-05-11,23:00,Kay,9010,0.019,Parts per million
48,Ozone,2019-05-12,00:00,Kay,9010,0.017,Parts per million
49,Ozone,2019-05-12,01:00,Kay,9010,0.017,Parts per million
50,Ozone,2019-05-12,02:00,Kay,9010,0.02,Parts per million
51,Ozone,2019-05-12,03:00,Kay,9010,0.021,Parts per million
52,Ozone,2019-05-12,04:00,Kay,9010,0.019,Parts per million
53,Ozone,2019-05-12,05:00,Kay,9010,0.017,Parts per million
54,Ozone,2019-05-12,06:00,Kay,9010,0.019,Parts per million
55,Ozone,2019-05-12,07:00,Kay,9010,0.024,Parts per million
56,Ozone,2019-05-12,08:00,Kay,9010,0.029,Parts per million
57,Ozone,2019-05-12,09:00,Kay,9010,0.034,Parts per million
58,Ozone,2019-05-12,10:00,Kay,9010,0.04,Parts per million
59,Ozone,2019-05-12,11:00,Kay,9010,0.039,Parts per million
60,Ozone,2019-05-12,12:00,Kay,9010,0.04,Parts per million
61,Ozone,2019-05-12,13:00,Kay,9010,0.041,Parts per million
62,Ozone,2019-05-12,14:00,Kay,9010,0.042,Parts per million
63,Ozone,2019-05-12,15:00,Kay,9010,0.043,Parts per million
64,Ozone,2019-05-12,16:00,Kay,9010,0.044,Parts per million
65,Ozone,2019-05-12,17:00,Kay,9010,0.044,Parts per million
66,Ozone,2019-05-12,18:00,Kay,9010,0.043,Parts per million
67,Ozone,2019-05-12,19:00,Kay,9010,0.036,Parts per million
68,Ozone,2019-05-12,20:00,Kay,9010,0.029,Parts per million
69,Ozone,2019-05-12,21:00,Kay,9010,,Parts per million
70,Ozone,2019-05-12,22:00,Kay,9010,,Parts per million
71,Ozone,2019-05-12,23:00,Kay,9010,0.02,Parts per million
72,Ozone,2019-05-13,00:00,Kay,9010,0.017,Parts per million
73,Ozone,2019-05-13,01:00,Kay,9010,0.015,Parts per million
74,Ozone,2019-05-13,02:00,Kay,9010,0.018,Parts per million
75,Ozone,2019-05-13,03:00,Kay,9010,0.018,Parts per million
76,Ozone,2019-05-13,04:00,Kay,9010,0.019,Parts per million
77,Ozone,2019-05-13,05:00,Kay,9010,0.02,Parts per million
78,Ozone,2019-05-13,06:00,Kay,9010,0.022,Parts per million
79,Ozone,2019-05-13,07:00,Kay,9010,0.027,Parts per million
80,Ozone,2019-05-13,08:00,Kay,9010,0.029,Parts per million
81,Ozone,2019-05-13,09:00,Kay,9010,0.032,Parts per million
82,Ozone,2019-05-13,10:00,Kay,9010,0.036,Parts per million
83,Ozone,2019-05-13,11:00,Kay,9010,0.039,Parts per million
84,Ozone,2019-05-13,12:00,Kay,9010,0.042,Parts per million
85,Ozone,2019-05-13,13:00,Kay,9010,0.043,Parts per million
86,Ozone,2019-05-13,14:00,Kay,9010,0.045,Parts per million
87,Ozone,2019-05-13,15:00,Kay,9010,0.049,Parts per million
88,Ozone,2019-05-13,16:00,Kay,9010,0.056,Parts per million
89,Ozone,2019-05-13,17:00,Kay,9010,0.057,Parts per million
90,Ozone,2019-05-13,18:00,Kay,9010,0.053,Parts per million
91,Ozone,2019-05-13,19:00,Kay,9010,0.046,Parts per million
92,Ozone,2019-05-13,20:00,Kay,9010,0.042,Parts per million
93,Ozone,2019-05-13,21:00,Kay,9010,,Parts per million
94,Ozone,2019-05-13,22:00,Kay,9010,,Parts per million
95,Ozone,2019-05-13,23:00,Kay,9010,0.04,Parts per million
96,Ozone,2019-05-14,00:00,Kay,9010,0.035,Parts per million
97,Ozone,2019-05-14,01:00,Kay,9010,0.029,Parts per million
98,Ozone,2019-05-14,02:00,Kay,9010,0.027,Parts per million
99,Ozone,2019-05-14,03:00,Kay,9010,0.027,Parts per million
100,Ozone,2019-05-14,04:00,Kay,9010,0.027,Parts per million
101,Ozone,2019-05-14,05:00,Kay,9010,0.026,Parts per million
102,Ozone,2019-05-14,06:00,Kay,9010,0.025,Parts per million
103,Ozone,2019-05-14,07:00,Kay,9010,0.027,Parts per million
104,Ozone,2019-05-14,08:00,Kay,9010,0.031,Parts per million
105,Ozone,2019-05-14,09:00,Kay,9010,0.031,Parts per million
106,Ozone,2019-05-14,10:00,Kay,9010,0.039,Parts per million
107,Ozone,2019-05-14,11:00,Kay,9010,0.046,Parts per million
108,Ozone,2019-05-14,12:00,Kay,9010,0.051,Parts per million
109,Ozone,2019-05-14,13:00,Kay,9010,0.052,Parts per million
110,Ozone,2019-05-14,14:00,Kay,9010,0.052,Parts per million
111,Ozone,2019-05-14,15:00,Kay,9010,0.05,Parts per million
112,Ozone,2019-05-14,16:00,Kay,9010,0.049,Parts per million
113,Ozone,2019-05-14,17:00,Kay,9010,0.049,Parts per million
114,Ozone,2019-05-14,18:00,Kay,9010,0.044,Parts per million
115,Ozone,2019-05-14,19:00,Kay,9010,0.037,Parts per million
116,Ozone,2019-05-14,20:00,Kay,9010,0.035,Parts per million
117,Ozone,2019-05-14,21:00,Kay,9010,,Parts per million
118,Ozone,2019-05-14,22:00,Kay,9010,,Parts per million
119,Ozone,2019-05-14,23:00,Kay,9010,0.034,Parts per million
